0,579207
1,87593
2,19883
3,13880
4,8376
5,6051
6,4937
7,3993
8,2979
9,2196
10,1840
11,1448
12,1333
13,1297
14,1249
15,916
16,700
17,680
18,645
19,602
20,607
21,643
22,475
23,425
24,385
25,369
26,382
27,374
28,390
29,339
30,239
31,239
32,273
33,238
34,229
35,259
36,223
37,189
38,167
39,182
40,166
41,191
42,200
43,157
44,137
45,140
46,134
47,139
48,135
49,159
50,122
51,106
52,99
53,106
54,100
55,101
56,99
57,104
58,94
59,99
60,84
61,75
62,113
63,99
64,86
65,69
66,80
67,88
68,68
69,74
70,96
71,81
72,69
73,56
74,67
75,67
76,75
77,78
78,61
79,53
80,49
81,61
82,48
83,53
84,64
85,59
86,49
87,56
88,54
89,51
90,69
91,68
92,53
93,46
94,47
95,41
96,44
97,49
98,47
99,39
100,54
101,43
102,41
103,35
104,48
105,47
106,32
107,39
108,34
109,36
110,42
111,35
112,35
113,36
114,34
115,36
116,29
117,35
118,39
119,36
120,34
121,23
122,25
123,20
124,25
125,34
126,44
127,26
128,30
129,22
130,24
131,33
132,20
133,26
134,30
135,16
136,27
137,28
138,24
139,19
140,39
141,36
142,28
143,15
144,22
145,21
146,27
147,27
148,23
149,9
150,18
151,16
152,22
153,19
154,28
155,21
156,28
157,17
158,23
159,17
160,19
161,25
162,17
163,18
164,14
165,11
166,16
167,24
168,25
169,22
170,25
171,15
172,13
173,13
174,17
175,15
176,21
177,15
178,15
179,13
180,10
181,16
182,11
183,9
184,15
185,14
186,16
187,16
188,14
189,17
190,18
191,16
192,14
193,12
194,9
195,14
196,17
197,13
198,20
199,7
200,2
201,12
202,10
203,5
204,10
205,9
206,10
207,10
208,8
209,19
210,14
211,11
212,12
213,9
214,16
215,6
216,10
217,8
218,11
219,6
220,9
221,12
222,10
223,8
224,9
225,11
226,5
227,9
228,7
229,7
230,12
231,13
232,8
233,2
234,12
235,11
236,1
237,14
238,15
239,8
240,6
241,13
242,7
243,10
244,9
245,16
246,8
247,6
248,4
249,9
250,5
251,5
252,5
253,10
254,6
255,5
256,8
257,5
258,3
259,9
260,6
261,3
262,7
263,1
264,8
265,7
266,4
267,6
268,9
269,3
270,6
271,5
272,9
273,4
274,6
275,4
276,7
277,5
278,7
279,4
280,5
281,7
282,4
283,3
284,6
285,6
286,3
287,3
288,3
289,4
290,4
291,3
292,5
293,3
294,3
295,5
296,2
297,5
298,2
299,1
300,1
301,7
302,5
303,2
304,3
305,2
306,2
308,7
309,3
310,4
311,2
312,6
313,2
314,1
315,2
316,1
317,3
319,1
320,2
321,4
323,1
324,2
327,1
328,2
329,2
330,1
332,3
333,1
336,1
338,1
339,1
341,1
342,1
343,1
348,1
360,1
